Type,x,y,width,height,Destination,Direction,State
Collider,544,736,448,32,,,
Collider,544,992,448,32,,,
Collider,960,768,32,224,,,
Collider,544,768,32,224,,,
Collider,608,800,32,32,,,
Collider,608,864,32,32,,,
Collider,608,928,32,32,,,
Collider,704,864,32,32,,,
Collider,704,800,32,32,,,
Collider,704,928,32,32,,,
Collider,800,800,32,32,,,
Collider,800,864,32,32,,,
Collider,800,928,32,32,,,
Collider,864,800,32,32,,,
Collider,864,928,32,32,,,
SecretBlock,864,864,32,32,,Left,
Door,960,848,64,64,Room2,Right,Closed
Door,512,848,64,64,Room3,Left,Locked
Player,768,960,0,0,,,
